#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
51000,51.0,-574313.785177,297.483771016,0.962611043599,0
52000,52.0,-573616.109054,299.714714311,0.96350357111,23.4
53000,53.0,-575030.294657,301.709577542,0.968479723283,23.4
54000,54.0,-574214.471687,298.879236624,0.969428271611,23.3
55000,55.0,-573895.753784,299.413828222,0.970573227705,23.3
56000,56.0,-574477.697002,298.707208163,0.977408265635,23.5
57000,57.0,-574510.292905,298.268033272,0.983904663434,23.4
58000,58.0,-575003.689038,301.070785917,0.985567946814,23.4
59000,59.0,-574776.974266,300.980179022,0.986337279019,23.4
60000,60.0,-574824.022071,302.574654962,0.985661999343,23.4
61000,60.9999999999,-575131.207045,303.255985996,0.989560726468,23.4
62000,61.9999999999,-574009.049557,297.79076928,0.989850646562,23.4
63000,62.9999999999,-574658.353882,300.147205796,0.991930771573,23.4
64000,63.9999999999,-575273.519097,300.33519983,0.991683689461,23.3
65000,64.9999999999,-575667.763096,298.854821913,0.997556963848,23.3
66000,66.0,-576234.8642,299.54477491,0.99816161259,23.3
67000,67.0,-575668.404361,298.940538754,1.00022495651,23.3
68000,68.0,-577193.024588,299.246585296,1.00092207051,23.3
69000,69.0,-575817.631722,301.434155211,0.996540867963,23.3
70000,70.0,-575835.603071,300.840243046,0.996830219101,23.3
71000,71.0,-575343.374694,299.521879147,1.00326686802,23.3
72000,72.0,-574487.587914,300.574098911,0.999781056392,23.3
73000,73.0,-575488.179305,299.700820079,1.00327262292,23.3
74000,74.0,-575762.585077,300.447189426,1.00184971369,23.3
75000,75.0,-576571.348922,297.366057423,1.00369119802,23.3
76000,76.0,-574545.863942,302.132368366,1.00438522379,23.3
77000,77.0,-574898.730372,299.148153521,1.01039825594,23.3
78000,78.0,-576348.554486,299.310006606,1.00862317952,23.3
79000,79.0,-577038.93305,298.02174513,1.00804127987,23.3
80000,80.0,-577217.741197,298.244611035,1.00723409182,23.3
81000,81.0,-575519.483462,300.812599734,1.00279814619,23.3
82000,82.0,-576376.033239,300.039825718,1.00572896576,23.3
83000,83.0,-576539.082792,300.334930407,1.00219761611,23.3
84000,84.0,-576412.183476,300.725091735,1.00249477225,23.3
85000,85.0,-574598.396487,298.999111996,1.00376143932,23.3
86000,86.0,-575222.433227,303.666098789,1.00462487532,23.3
87000,87.0000000001,-576280.895043,303.858283344,1.00496882105,23.3
88000,88.0000000001,-576044.011226,301.174996479,1.00446077312,23.3
89000,89.0000000001,-576379.289609,300.762148145,1.0050396577,23.3
90000,90.0000000001,-575269.610764,299.053610294,1.00571754652,23.3
91000,91.0000000001,-577501.656865,298.012078582,1.00776503011,23.3
92000,92.0000000001,-577219.07278,300.916360412,1.00714995485,23.3
93000,93.0000000001,-577155.46088,298.833204884,1.00422464257,23.3
94000,94.0000000001,-577588.376385,299.235207192,1.00807205296,23.3
95000,95.0000000001,-577569.186678,300.256131341,1.00629993569,23.3
96000,96.0000000001,-576538.87995,300.976396718,1.00517429251,23.3
97000,97.0000000001,-575450.502748,301.046798527,1.00208729689,23.3
98000,98.0000000001,-576310.62934,302.184477579,1.00347008426,23.3
99000,99.0000000001,-576768.924643,297.099904755,1.00548832642,23.3
100000,100.0,-577600.564844,299.474287445,1.00520781792,23.3
101000,101.0,-576992.323689,299.567121022,1.00437642866,23.3
102000,102.0,-577532.216279,298.259076703,1.00560004375,23.3
103000,103.0,-577403.929691,300.257070681,1.00504091916,23.3
104000,104.0,-576621.332599,300.77683568,1.00802037798,23.3
105000,105.0,-575582.602339,299.486983706,1.00670764845,23.3
106000,106.0,-576321.08855,301.826008381,1.00174260032,23.3
107000,107.0,-576813.241437,302.066304238,1.00492127913,23.3
108000,108.0,-576392.250717,301.693964007,1.00267012308,23.3
109000,109.0,-576536.924065,297.773048959,1.00300099474,23.3
110000,110.0,-576271.609337,300.923543427,1.00171356915,23.3
111000,111.0,-576569.676243,300.352539897,1.0046403849,23.3
112000,112.0,-576202.191337,297.368363133,1.00297080625,23.3
113000,113.0,-576215.761013,299.456707292,1.00387289031,23.3
114000,114.0,-577105.183713,299.284010169,1.0015072184,23.3
115000,115.0,-574827.775178,300.115240996,1.00400439835,23.3
116000,116.0,-575973.620218,300.950975671,0.999775727814,23.3
117000,117.0,-576705.38172,298.901439427,1.00288236134,23.3
118000,118.0,-575752.06209,301.018933757,1.00415588242,23.3
119000,119.0,-575641.028018,297.511838914,1.00250797657,23.3
120000,120.0,-575796.501213,298.174222602,1.00107606504,23.3
121000,121.0,-575754.683431,298.908116754,1.00226606302,23.3
122000,122.0,-577049.810655,301.08104252,1.00325838496,23.3
123000,123.0,-576996.001486,302.477907171,1.00371153526,23.3
124000,124.0,-575416.324381,301.348606558,1.00546917069,23.3
125000,125.0,-575355.217114,298.889468225,1.00259649279,23.3
126000,126.0,-575816.850558,300.470426819,1.00184011802,23.3
127000,127.0,-575026.383926,299.893213161,1.00244232294,23.3
128000,128.0,-576391.719186,301.431680247,1.00277957438,23.3
129000,129.0,-576764.370046,300.906391265,1.00348635203,23.3
130000,130.0,-575571.289429,300.470035509,1.00521680006,23.3
131000,131.0,-575079.087745,301.335004959,1.00340581415,23.3
132000,132.0,-576885.015253,299.880328668,1.0039182026,23.3
133000,133.0,-576377.151269,301.21469638,1.00511719301,23.3
134000,134.0,-575558.964015,300.794139114,1.00261965943,23.3
135000,135.0,-576699.956415,301.091339649,1.00401623382,23.3
136000,136.0,-575410.169209,299.608473952,1.00633917526,23.3
137000,137.0,-578141.800789,301.010137318,1.00844344677,23.3
138000,138.0,-576881.144784,300.77429559,1.00713651647,23.3
139000,139.0,-576968.721981,297.714693077,1.01080257477,23.3
140000,140.0,-577192.442784,298.960907153,1.0065548402,23.3
141000,141.0,-577248.715044,301.782480095,1.00714564922,23.3
142000,142.0,-575712.166059,298.735097585,1.00768818198,23.3
143000,143.0,-574970.791558,300.612061014,1.00442398398,23.3
144000,144.0,-575582.673672,300.332353652,1.00248010055,23.3
145000,145.0,-575892.800172,300.80105486,1.00213160097,23.3
146000,146.0,-576138.148546,302.309590361,1.00178165188,23.3
147000,147.0,-575473.456012,300.123795921,1.00343076465,23.3
148000,148.0,-576036.644474,301.906400049,1.00474104866,23.3
149000,149.0,-576371.592954,297.529632118,1.00279789292,23.3
150000,150.0,-577221.847489,300.528976479,1.0054421988,23.3
151000,151.0,-575897.323124,300.31592431,0.99986955777,23.3
152000,152.0,-576078.705381,300.146712954,1.00069287014,23.3
153000,153.0,-575883.436932,300.879772498,0.999856294041,23.3
154000,154.0,-575636.53474,300.873611921,1.00331348667,23.3
155000,155.0,-576023.943263,300.75812813,1.00135616104,23.3
156000,156.0,-576094.409897,297.116656941,1.00179559646,23.3
157000,157.0,-576798.339892,299.325432453,1.00397302286,23.3
158000,158.0,-575769.450961,299.714936863,1.00317950298,23.3
159000,159.0,-576744.266167,303.547435754,1.00515160091,23.3
160000,160.0,-575710.968323,300.075555148,1.00437600713,23.3
161000,161.0,-575882.887186,302.102503244,1.0049332815,23.3
162000,162.0,-576416.022434,300.18535843,1.0034323626,23.3
